Node,word,frequency_word,shortest_path,degree_centrality,betweenness_centrality,closeness_centrality,clustering_coefficient,eigenvector_centrality,Class_degree_centralitylow,Class_degree_centralitymedium,Class_degree_centralityhigh,Class_betweenness_centralitylow,Class_betweenness_centralitymedium,Class_betweenness_centralityhigh,Class_closeness_centralitylow,Class_closeness_centralitymedium,Class_closeness_centralityhigh,Class_clustering_coefficientlow,Class_clustering_coefficientmedium,Class_clustering_coefficienthigh,Class_eigenvector_centralitylow,Class_eigenvector_centralitymedium,Class_eigenvector_centralityhigh
12,pepeloni,12,"[14, 20, 4, 12]",0.6551724137931034,0.27608851876093254,0.47540983606557374,0.025668218445867627,0.7224566186829265,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
21,always,7,"[14, 22, 3, 21]",0.5172413793103449,0.2699787144984189,0.4915254237288136,0.04416671848844518,0.4176357419245186,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1
2,order,6,"[14, 15, 11, 26, 2]",0.41379310344827586,0.03641801548205489,0.3625,0.06830278006501585,0.33561940233694126,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1
13,without,2,"[14, 22, 3, 21, 13]",0.13793103448275862,0.008054650603911688,0.3625,0.16141258535141992,0.21865872847943102,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1
28,like,2,"[14, 15, 11, 28]",0.20689655172413793,0.060773572349927044,0.4393939393939394,0.07343229237444945,0.1541961828943319,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
27,ear,3,"[14, 15, 16, 27]",0.27586206896551724,0.0009774024552349676,0.38666666666666666,0.0758758633601961,0.15023603050583825,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1
0,domino,2,"[14, 22, 3, 21, 0]",0.20689655172413793,0.002134646962233169,0.3625,0.15482843611349953,0.14766065837041042,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1
16,cheese,5,"[14, 15, 16]",0.3793103448275862,0.0841367581515365,0.4461538461538462,0.04823273542635249,0.12979961315208174,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1
29,know,1,"[14, 20, 4, 12, 10, 29]",0.06896551724137931,0.0,0.3020833333333333,0.12018746419228403,0.10812055822538562,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0
6,yeah,1,"[14, 15, 11, 28, 6]",0.10344827586206896,0.013695301687912527,0.3972602739726027,0.13490570306206015,0.08294066934916719,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
19,ahh,2,"[14, 15, 11, 19]",0.13793103448275862,0.0032420439440143866,0.3717948717948718,0.04124856939682737,0.08238303470403757,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
17,one,1,"[14, 20, 4, 12, 17]",0.10344827586206896,0.0,0.35802469135802467,0.12262099277574325,0.0785843948993376,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0
23,wh,1,"[14, 15, 11, 26, 23]",0.10344827586206896,0.014357919037721996,0.3972602739726027,0.08547337896463925,0.0697125053479201,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
10,nooo,1,"[14, 20, 4, 12, 10]",0.13793103448275862,0.09387879498716938,0.4264705882352941,0.0751687023177636,0.06428164904434945,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0
3,h,1,"[14, 22, 3]",0.13793103448275862,0.11762655106251166,0.4603174603174603,0.05152744370384301,0.0573150093799319,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0
11,pan,3,"[14, 15, 11]",0.27586206896551724,0.14774580919901117,0.4264705882352941,0.033494820019742695,0.04929416454755925,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0
26,pizza,2,"[14, 15, 11, 26]",0.24137931034482757,0.08957475201317563,0.4264705882352941,0.03674392328865893,0.045192409707137816,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0
9,draw,0,"[14, 22, 3, 21, 9]",0.10344827586206896,0.006060749595232354,0.35802469135802467,0.08547337896463925,0.04019613278717312,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0
5,understand,1,"[14, 15, 11, 1, 5]",0.13793103448275862,0.03072165245810566,0.4084507042253521,0.041666666666666664,0.039492737735419066,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
24,understandable,1,"[14, 15, 11, 1, 24]",0.13793103448275862,0.026272577996715927,0.38666666666666666,0.041666666666666664,0.039109348223233836,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
7,explain,2,"[14, 15, 11, 7]",0.20689655172413793,0.014904410039878023,0.3972602739726027,0.03499780694152426,0.03820175428264275,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0
4,top,1,"[14, 20, 4]",0.13793103448275862,0.09241610879541914,0.4027777777777778,0.041666666666666664,0.03811892053089252,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0
25,yes,1,"[14, 20, 4, 12, 25]",0.06896551724137931,0.0,0.34523809523809523,0.08333333333333333,0.03689685809044591,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1
8,part,1,"[14, 15, 11, 8]",0.10344827586206896,0.0012315270935960591,0.3493975903614458,0.08249713879365474,0.02323479231202104,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
15,eat,2,"[14, 15]",0.20689655172413793,0.06536251105216623,0.3493975903614458,0.04742160749898274,0.01683168269255043,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1
1,okay,1,"[14, 15, 11, 1]",0.13793103448275862,0.03633591367581515,0.3918918918918919,0.041666666666666664,0.008386093614487116,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
22,pick,1,"[14, 22]",0.13793103448275862,0.050910487979453495,0.35802469135802467,0.041666666666666664,0.004791725175411076,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1
20,away,1,"[14, 20]",0.13793103448275862,0.04469074986316366,0.32222222222222224,0.041666666666666664,0.002226357850470289,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1
18,dont,1,"[14, 18]",0.10344827586206896,0.0,0.27102803738317754,0.06277558471930204,0.0017991673776892518,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
14,cause,1,[14],0.13793103448275862,0.045575975748389536,0.32222222222222224,0.0452766812485399,0.0012427420566348095,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
