word,Class_degree_centralitylow,Class_degree_centralitymedium,Class_degree_centralityhigh,Class_betweenness_centralitylow,Class_betweenness_centralitymedium,Class_betweenness_centralityhigh,Class_closeness_centralitylow,Class_closeness_centralitymedium,Class_closeness_centralityhigh,Class_clustering_coefficientlow,Class_clustering_coefficientmedium,Class_clustering_coefficienthigh,Class_eigenvector_centralitylow,Class_eigenvector_centralitymedium,Class_eigenvector_centralityhigh
pepeloni,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1
always,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1
order,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1
without,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1
like,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ear,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1
domino,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1
cheese,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1
know,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0
yeah,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
ahh,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
one,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0
wh,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
nooo,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0
h,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0
pan,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0
pizza,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0
draw,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0
understand,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
understandable,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
explain,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0
top,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0
yes,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1
part,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
eat,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1
okay,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
pick,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1
away,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1
dont,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
cause,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
